id,rank,name,price,image,link,category
1,1,올예스 콜드브루 원액 500ml+500ml 더치커피 수제 3종,10900 ,https://shop-phinf.pstatic.net/20220620_232/1655710114586N4m5i_JPEG/56845898247831928_978039503.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=8468448637&tr=bbrks&trx=,20W
2,2,레인부츠 여성장화 가벼운 츄츄스,32900 ,https://shop-phinf.pstatic.net/20211109_228/1636442284962pgmbS_PNG/37578068664200680_1081114654.png?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=2444661386&tr=bbrks&trx=,20W
3,3,하림펫푸드 더리얼 캣 크런치 고양이 사료 1.6kg,33250 ,https://shop-phinf.pstatic.net/20230525_204/1684992343132aP9Gu_JPEG/35166891024230264_1399205473.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=5997417961&tr=bbrks&trx=,20W
4,4,(A)소소한하루 양파,990 ,https://shop-phinf.pstatic.net/20230517_9/1684296534827ITu8C_JPEG/45257448753370286_722872439.jpg?type=f200,https://shopping.naver.com/outlink/itemdetail/5899357112,20W
5,5,[스킨푸드] 캐롯 카로틴 카밍 워터 패드 60매 250g_당근패드,17420 ,https://shop-phinf.pstatic.net/20230411_163/1681185828458AP55p_JPEG/82321656280278136_1042238369.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=4995332955&tr=bbrks&trx=,20W
6,6,맛있게 매운 대전 선화동 실비 김치 800g,13200 ,https://shop-phinf.pstatic.net/20220420_263/1650435541265J1QvI_JPEG/51571436682780274_1056948856.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=5176492000&tr=bbrks&trx=,20W
7,7,햇반 작은공기130Gx36개,30900 ,https://shop-phinf.pstatic.net/20230209_266/1675924316742WjUte_JPEG/77060215440306245_689498788.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=2663084122&tr=bbrks&trx=,20W
8,8,[즉시배송]MAGNETA mini(마그네타 미니) - 반려동물용 항산화 영양제,42500 ,https://shop-phinf.pstatic.net/20220519_74/16529303484162w2mL_JPEG/54066182210918333_1112943303.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=5304030578&tr=bbrks&trx=,20W
9,9,[6주년] 남녀공용 첼시 레인부츠 (220 ~ 275) 눈올때 비올때 축제 농사에 막신으세요!,19900 ,https://shop-phinf.pstatic.net/20210707_159/16256482769566MAu3_JPEG/26784175591127627_1703912412.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=2608312305&tr=bbrks&trx=,20W
10,10,제주 미니밤호박 미니단호박 3kg 5kg 10kg 보우짱,15400 ,https://shop-phinf.pstatic.net/20200809_16/1596960423431NIT1t_JPEG/34323811731502900_1322743729.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=5053979013&tr=bbrks&trx=,20W
